,Unnamed: 0_x,Date,BTC_Actual,BTC_Predicted,BTC_PrevClose,BTC_BreakHigh2_lag1,Unnamed: 0_y,SPY_Actual,SPY_Predicted,SPY_PrevClose,SPY_BreakHigh2_lag1,TLT_Open,TLT_High,TLT_Low,TLT_Close,TLT_SMAVG (5)  on Close,TLT_SMAVG (10)  on Close,TLT_SMAVG (15)  on Close,TLT_Volume,TLT_SMAVG (5)
0,17539,2025-01-01 00:00:00,94819.27,95000.13016,95282.72,False,3237.0,586.9,588.5026700000005,588.73,False,88.065,88.065,87.56,87.57,87.961,87.902,87.863,1463486.0,2993670.0
1,17540,2025-01-01 00:30:00,94687.97,94644.51788000016,94819.27,False,3238.0,587.06,586.9687580000004,586.9,False,87.57,87.65,87.48,87.575,87.916,87.876,87.847,2488418.0,1716545.0
2,17541,2025-01-01 01:00:00,94358.8,94750.07166000007,94687.97,False,3239.0,585.86,587.4955800000004,587.06,False,87.575,87.585,87.34,87.525,87.771,87.842,87.829,1582935.0,1724840.0
3,17542,2025-01-01 01:30:00,93961.69,94338.51125999994,94358.8,False,3240.0,587.205,585.9880599999988,585.86,False,87.53,87.765,87.43,87.61,87.669,87.818,87.821,3499756.0,2161849.0
4,17543,2025-01-01 02:00:00,93836.11,93863.01374000004,93961.69,False,3241.0,584.96,586.748483999999,587.205,False,87.61,87.635,87.39,87.422,87.54,87.773,87.799,1925135.0,2191946.0
5,17544,2025-01-01 02:30:00,93752.34,93768.9276199999,93836.11,False,3242.0,585.34,585.854903999999,584.96,False,87.42,87.665,87.41,87.595,87.545,87.753,87.783,1038624.0,2106974.0
6,17545,2025-01-01 03:00:00,93822.38,93684.0700400004,93752.34,False,3243.0,584.97,585.5867759999992,585.34,False,87.591,87.63,87.55,87.597,87.55,87.733,87.767,1235747.0,1856439.0
7,17546,2025-01-01 03:30:00,94008.64,93669.25232000028,93822.38,False,3244.0,586.13,585.2867659999994,584.97,False,87.595,87.62,87.545,87.57,87.559,87.665,87.748,753822.0,1690617.0
8,17547,2025-01-01 04:00:00,93934.86,94060.15952000023,94008.64,False,3245.0,587.25,585.8822759999994,586.13,False,87.575,87.62,87.5,87.5,87.537,87.603,87.724,1200780.0,1230822.0
9,17548,2025-01-01 04:30:00,93401.59,94029.82984,93934.86,False,3246.0,586.08,587.8628979999996,587.25,False,87.51,87.52,87.26,87.35,87.522,87.531,87.689,9375241.0,2720843.0
10,17549,2025-01-01 05:00:00,93429.78,93570.0478600002,93401.59,False,,,,,,,,,,,,,,
11,17550,2025-01-01 05:30:00,93746.3,93507.43628000024,93429.78,False,,,,,,,,,,,,,,
12,17551,2025-01-01 06:00:00,93562.67,93706.2388,93746.3,False,,,,,,,,,,,,,,
13,17552,2025-01-01 06:30:00,93328.64,93485.44834000024,93562.67,False,,,,,,,,,,,,,,
14,17553,2025-01-01 07:00:00,93564.08,93305.23952000018,93328.64,False,,,,,,,,,,,,,,
15,17554,2025-01-01 07:30:00,93370.91,93505.88322000008,93564.08,False,,,,,,,,,,,,,,
16,17555,2025-01-01 08:00:00,93569.44,93357.74092000011,93370.91,False,,,,,,,,,,,,,,
17,17556,2025-01-01 08:30:00,94216.97,93500.69487999992,93569.44,True,,,,,,,,,,,,,,
18,17557,2025-01-01 09:00:00,93667.8,94163.09744000006,94216.97,True,,,,,,,,,,,,,,
19,17558,2025-01-01 09:30:00,93429.88,93779.77857999993,93667.8,False,,,,,,,,,,,,,,
20,17559,2025-01-01 10:00:00,93560.56,93365.57784000009,93429.88,False,,,,,,,,,,,,,,
21,17560,2025-01-01 10:30:00,93881.11,93645.69256,93560.56,False,,,,,,,,,,,,,,
22,17561,2025-01-01 11:00:00,93630.5,93895.6074,93881.11,False,,,,,,,,,,,,,,
23,17562,2025-01-01 11:30:00,93632.88,93664.63646000013,93630.5,False,,,,,,,,,,,,,,
24,17563,2025-01-01 12:00:00,93547.5,93750.21628000004,93632.88,False,,,,,,,,,,,,,,
25,17564,2025-01-01 12:30:00,93355.89,93630.49437999992,93547.5,False,,,,,,,,,,,,,,
26,17565,2025-01-01 13:00:00,93664.91,93571.1800800001,93355.89,False,,,,,,,,,,,,,,
27,17566,2025-01-01 13:30:00,93588.75,93817.08639999991,93664.91,False,,,,,,,,,,,,,,
28,17567,2025-01-01 14:00:00,93458.83,93581.87172000029,93588.75,True,,,,,,,,,,,,,,
29,17568,2025-01-01 14:30:00,93539.88,93652.79141999983,93458.83,False,,,,,,,,,,,,,,
30,17569,2025-01-01 15:00:00,93577.44,93651.74967999988,93539.88,False,,,,,,,,,,,,,,
31,17570,2025-01-01 15:30:00,93499.84,93607.50065999992,93577.44,False,,,,,,,,,,,,,,
32,17571,2025-01-01 16:00:00,93235.47,93570.41788000008,93499.84,False,,,,,,,,,,,,,,
33,17572,2025-01-01 16:30:00,93252.3,93349.63673999996,93235.47,False,,,,,,,,,,,,,,
34,17573,2025-01-01 17:00:00,92963.72,93400.53207999987,93252.3,False,,,,,,,,,,,,,,
35,17574,2025-01-01 17:30:00,93221.86,93112.64717999988,92963.72,False,,,,,,,,,,,,,,
36,17575,2025-01-01 18:00:00,93245.31,93415.00917999988,93221.86,False,,,,,,,,,,,,,,
37,17576,2025-01-01 18:30:00,93125.48,93294.72395999996,93245.31,False,,,,,,,,,,,,,,
38,17577,2025-01-01 19:00:00,93303.67,93206.05971999982,93125.48,False,,,,,,,,,,,,,,
39,17578,2025-01-01 19:30:00,93267.53,93492.60432000016,93303.67,False,,,,,,,,,,,,,,
40,17579,2025-01-01 20:00:00,93689.22,93295.96134000008,93267.53,False,,,,,,,,,,,,,,
41,17580,2025-01-01 20:30:00,93622.22,93661.83257999996,93689.22,True,,,,,,,,,,,,,,
42,17581,2025-01-01 21:00:00,93558.48,93535.9676399999,93622.22,False,,,,,,,,,,,,,,
43,17582,2025-01-01 21:30:00,93830.16,93623.02045999994,93558.48,False,,,,,,,,,,,,,,
44,17583,2025-01-01 22:00:00,93718.59,93716.56658,93830.16,False,,,,,,,,,,,,,,
45,17584,2025-01-01 22:30:00,93976.59,93667.06130000007,93718.59,True,,,,,,,,,,,,,,
46,17585,2025-01-01 23:00:00,93969.42,93727.13776000009,93976.59,False,,,,,,,,,,,,,,
47,17586,2025-01-01 23:30:00,94217.34,93966.5844600001,93969.42,False,,,,,,,,,,,,,,
48,17587,2025-01-02 00:00:00,93936.14,94216.92898000008,94217.34,True,,,,,,,,,,,,,,
49,17588,2025-01-02 00:30:00,93904.14,93951.55318000016,93936.14,False,,,,,,,,,,,,,,
50,17589,2025-01-02 01:00:00,93765.36,93789.48084000024,93904.14,False,,,,,,,,,,,,,,
51,17590,2025-01-02 01:30:00,93954.44,93734.0677400001,93765.36,False,,,,,,,,,,,,,,
52,17591,2025-01-02 02:00:00,94014.48,93911.41606000016,93954.44,False,,,,,,,,,,,,,,
53,17592,2025-01-02 02:30:00,94125.84,94025.79458000016,94014.48,True,,,,,,,,,,,,,,
54,17593,2025-01-02 03:00:00,94037.77,94182.10376000032,94125.84,True,,,,,,,,,,,,,,
55,17594,2025-01-02 03:30:00,94434.05,94117.07824000008,94037.77,True,,,,,,,,,,,,,,
56,17595,2025-01-02 04:00:00,94520.2,94414.3685800002,94434.05,True,,,,,,,,,,,,,,
57,17596,2025-01-02 04:30:00,94601.55,94485.45794000015,94520.2,True,,,,,,,,,,,,,,
58,17597,2025-01-02 05:00:00,94768.78,94531.94613999993,94601.55,True,,,,,,,,,,,,,,
59,17598,2025-01-02 05:30:00,94683.25,94634.74775999993,94768.78,True,,,,,,,,,,,,,,
60,17599,2025-01-02 06:00:00,94548.91,94526.10501999989,94683.25,False,,,,,,,,,,,,,,
61,17600,2025-01-02 06:30:00,94607.48,94532.66625999995,94548.91,False,,,,,,,,,,,,,,
62,17601,2025-01-02 07:00:00,94457.03,94538.20685999985,94607.48,False,,,,,,,,,,,,,,
63,17602,2025-01-02 07:30:00,94391.0,94428.24294000004,94457.03,False,,,,,,,,,,,,,,
64,17603,2025-01-02 08:00:00,94723.09,94318.25204000004,94391.0,False,,,,,,,,,,,,,,
65,17604,2025-01-02 08:30:00,94911.7,94702.12010000023,94723.09,False,,,,,,,,,,,,,,
66,17605,2025-01-02 09:00:00,94899.27,94781.04798000032,94911.7,True,,,,,,,,,,,,,,
67,17606,2025-01-02 09:30:00,94685.64,94814.1865800003,94899.27,True,,,,,,,,,,,,,,
68,17607,2025-01-02 10:00:00,94843.52,94709.22792000016,94685.64,False,,,,,,,,,,,,,,
69,17608,2025-01-02 10:30:00,95043.84,94769.68212000011,94843.52,False,,,,,,,,,,,,,,
70,17609,2025-01-02 11:00:00,94903.5,94957.73074000028,95043.84,True,,,,,,,,,,,,,,
71,17610,2025-01-02 11:30:00,94834.97,94872.39720000036,94903.5,True,,,,,,,,,,,,,,
72,17611,2025-01-02 12:00:00,95004.27,94873.44400000024,94834.97,False,,,,,,,,,,,,,,
73,17612,2025-01-02 12:30:00,95520.56,94940.37086000024,95004.27,False,,,,,,,,,,,,,,
74,17613,2025-01-02 13:00:00,95576.08,95460.12192000012,95520.56,True,,,,,,,,,,,,,,
75,17614,2025-01-02 13:30:00,95421.7,95679.16468000005,95576.08,False,,,,,,,,,,,,,,
76,17615,2025-01-02 14:00:00,95292.52,95330.45512000004,95421.7,False,,,,,,,,,,,,,,
77,17616,2025-01-02 14:30:00,95430.41,95045.84536000018,95292.52,False,,,,,,,,,,,,,,
78,17617,2025-01-02 15:00:00,95637.59,95294.82662,95430.41,False,,,,,,,,,,,,,,
