,Date,Open_x,High_x,Low_x,Close_x,SMAVG (5)  on Close_x,SMAVG (10)  on Close_x,SMAVG (15)  on Close_x,Actual_log_returns_BTC,Predicted_log_returns_BTC,BreakHigh2_lag1_BTC,log_returns_lag1_BTC,Open_y,High_y,Low_y,Close_y,SMAVG (5)  on Close_y,SMAVG (10)  on Close_y,SMAVG (15)  on Close_y,Volume_x,SMAVG (5)_x,Unnamed: 0_SPY_SPY,Actual_log_returns_SPY_SPY,Predicted_log_returns_SPY_SPY,BreakHigh2_lag1_SPY_SPY,log_returns_lag1_SPY_SPY,Open,High,Low,Close,SMAVG (5)  on Close,SMAVG (10)  on Close,SMAVG (15)  on Close,Volume_y,SMAVG (5)_y
0,2024-01-01 00:00:00,42443.31,42566.05,42425.25,42548.94,42490.52,42488.01,42546.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-01-01 00:30:00,42548.94,42685.12,42545.75,42585.5,42509.3,42495.71,42537.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-01-01 01:00:00,42586.1,42634.27,42500.12,42500.12,42506.0,42488.57,42522.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-01-01 01:30:00,42500.12,42634.15,42467.88,42600.07,42535.59,42505.98,42520.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-01-01 02:00:00,42600.07,42615.7,42522.77,42615.0,42569.93,42520.62,42518.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-01-01 02:30:00,42615.0,42699.79,42605.07,42642.07,42588.55,42539.54,42521.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-01-01 03:00:00,42642.07,42667.12,42576.48,42653.71,42602.2,42555.75,42531.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-01-01 03:30:00,42653.71,42679.66,42591.88,42598.88,42621.95,42563.97,42533.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-01-01 04:00:00,42598.88,42658.57,42555.1,42569.08,42615.75,42575.67,42542.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-01-01 04:30:00,42569.08,42605.9,42504.88,42541.63,42601.07,42585.5,42547.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-01-01 05:00:00,42541.63,42647.58,42538.3,42611.1,42594.88,42591.71,42557.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-01-01 05:30:00,42611.1,42623.89,42509.15,42510.33,42566.2,42584.2,42559.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-01-01 06:00:00,42507.9,42557.6,42430.07,42551.63,42556.75,42589.35,42561.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-01-01 06:30:00,42551.63,42588.34,42121.03,42266.42,42496.22,42555.98,42549.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-01-01 07:00:00,42266.55,42345.06,42078.87,42182.16,42424.33,42512.7,42531.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-01-01 07:30:00,42182.16,42284.0,42156.63,42279.81,42358.07,42476.48,42513.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-01-01 08:00:00,42279.81,42535.2,42264.29,42412.59,42338.52,42452.36,42502.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-01-01 08:30:00,42412.59,42481.46,42353.0,42465.21,42321.24,42439.0,42499.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-01-01 09:00:00,42465.21,42501.85,42421.56,42484.06,42364.77,42430.5,42492.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-01-01 09:30:00,42484.06,42744.24,42484.06,42599.91,42448.32,42436.32,42491.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-01-01 10:00:00,42599.91,42623.5,42521.09,42535.88,42499.53,42428.8,42484.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-01-01 10:30:00,42535.88,42598.0,42499.45,42573.6,42531.73,42435.13,42478.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-01-01 11:00:00,42573.6,42582.02,42426.62,42430.38,42524.77,42423.0,42467.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-01-01 11:30:00,42430.38,42452.65,42255.27,42330.18,42493.99,42429.38,42451.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-01-01 12:00:00,42330.18,42375.12,42213.38,42304.46,42434.9,42441.61,42435.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2024-01-01 12:30:00,42304.46,42390.23,42282.75,42389.3,42405.59,42452.55,42421.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2024-01-01 13:00:00,42391.19,42398.56,42296.66,42296.99,42350.26,42441.0,42406.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2024-01-01 13:30:00,42296.99,42320.34,42195.62,42234.73,42311.13,42417.95,42385.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2024-01-01 14:00:00,42234.73,42346.56,42210.95,42319.73,42309.04,42401.52,42389.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-01-01 14:30:00,42319.73,42425.06,42309.16,42401.07,42328.36,42381.63,42403.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2024-01-01 15:00:00,42401.07,42495.7,42401.07,42488.5,42348.2,42376.89,42417.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-01-01 15:30:00,42488.5,42500.88,42441.13,42490.34,42386.88,42368.57,42422.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2024-01-01 16:00:00,42490.34,42534.45,42461.38,42483.53,42436.63,42373.88,42424.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2024-01-01 16:30:00,42483.53,42552.55,42463.72,42550.1,42482.71,42395.88,42428.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2024-01-01 17:00:00,42550.1,42650.95,42538.48,42590.3,42520.55,42424.46,42427.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2024-01-01 17:30:00,42590.3,42683.2,42590.3,42646.46,42552.14,42450.18,42435.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2024-01-01 18:00:00,42646.45,42700.99,42631.3,42668.68,42587.81,42487.34,42441.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2024-01-01 18:30:00,42668.68,42746.49,42664.86,42692.17,42629.54,42533.09,42459.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2024-01-01 19:00:00,42692.17,42757.12,42658.08,42678.18,42655.16,42568.93,42482.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2024-01-01 19:30:00,42678.18,42699.68,42607.9,42691.25,42675.35,42597.95,42508.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2024-01-01 20:00:00,42690.47,42731.5,42622.75,42681.59,42682.38,42617.26,42527.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2024-01-01 20:30:00,42681.59,42768.12,42656.79,42657.44,42680.12,42633.97,42551.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2024-01-01 21:00:00,42657.44,42725.06,42625.38,42721.42,42685.98,42657.76,42584.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2024-01-01 21:30:00,42721.42,42745.61,42678.24,42724.17,42695.18,42675.17,42611.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2024-01-01 22:00:00,42724.17,42725.16,42590.23,42619.06,42680.74,42678.04,42625.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2024-01-01 22:30:00,42619.06,42670.12,42600.07,42621.23,42668.66,42675.52,42634.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2024-01-01 23:00:00,42621.23,42736.29,42601.68,42688.12,42674.8,42677.46,42647.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2024-01-01 23:30:00,42688.12,42837.04,42614.62,42794.77,42689.47,42687.73,42668.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2024-01-02 00:00:00,42794.77,42861.25,42684.34,42738.0,42692.24,42693.71,42680.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2024-01-02 00:30:00,42736.0,42788.84,42710.45,42734.34,42715.3,42698.02,42690.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2024-01-02 01:00:00,42734.34,42791.25,42734.29,42742.16,42739.48,42704.07,42696.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2024-01-02 01:30:00,42742.16,42837.86,42716.97,42825.81,42767.02,42720.91,42707.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2024-01-02 02:00:00,42825.81,43198.65,42825.81,43071.9,42822.45,42755.96,42732.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2024-01-02 02:30:00,43071.9,43188.69,43032.05,43117.8,42898.41,42795.32,42761.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2024-01-02 03:00:00,43117.73,43317.91,43111.09,43284.5,43008.44,42861.87,42801.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2024-01-02 03:30:00,43284.5,43559.74,43248.12,43538.43,43167.69,42953.59,42858.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2024-01-02 04:00:00,43538.43,43761.06,43538.43,43702.38,43343.0,43055.01,42928.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2024-01-02 04:30:00,43702.38,43833.84,43651.03,43702.3,43469.08,43145.76,42993.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2024-01-02 05:00:00,43702.3,43794.75,43642.88,43662.82,43578.09,43238.25,43056.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2024-01-02 05:30:00,43662.82,43665.47,43498.94,43603.28,43641.84,43325.14,43121.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2024-01-02 06:00:00,43627.68,43672.27,43405.3,43482.59,43630.67,43399.18,43179.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
